,component_name,created_at,device_id,id,occurred_at,updated_at,value,name,sensor_kind,Timestamp,Kitchen,Laundry,Toilet,Medication Area,Living Room,Master Bedroom,Spare Bedroom,Bathroom
0,motion,2017-03-05T09:00:11.240Z,6,189233,2017-03-05T09:00:11.233Z,2017-03-05T09:00:11.240Z,inactive,Kitchen Motion,Motion,2017-03-05T09:00:11.233Z,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,motion,2017-03-05T09:00:13.760Z,6,189235,2017-03-05T09:00:13.753Z,2017-03-05T09:00:13.760Z,active,Kitchen Motion,Motion,2017-03-05T09:00:13.753Z,Occupied Active,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied
2,motion,2017-03-05T09:00:24.141Z,7,189237,2017-03-05T09:00:24.131Z,2017-03-05T09:00:24.141Z,active,spare_bedroom - corridor transit,Transit,2017-03-05T09:00:24.131Z,Occupied Active,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied
3,motion,2017-03-05T09:00:27.242Z,10,189239,2017-03-05T09:00:27.234Z,2017-03-05T09:00:27.242Z,active,Laundry Motion,Motion,2017-03-05T09:00:27.234Z,Unoccupied,Occupied Active,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied
4,motion,2017-03-05T09:00:29.934Z,13,189241,2017-03-05T09:00:29.927Z,2017-03-05T09:00:29.934Z,active,toilet - laundry transit,Transit,2017-03-05T09:00:29.927Z,Unoccupied,Occupied Active,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied
5,motion,2017-03-05T09:00:30.521Z,14,189244,2017-03-05T09:00:30.515Z,2017-03-05T09:00:30.521Z,active,Toilet Motion,Motion,2017-03-05T09:00:30.515Z,Unoccupied,Unoccupied,Occupied Active,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied
6,motion,2017-03-05T09:00:35.022Z,7,189246,2017-03-05T09:00:35.010Z,2017-03-05T09:00:35.022Z,inactive,spare_bedroom - corridor transit,Transit,2017-03-05T09:00:35.010Z,Unoccupied,Unoccupied,Occupied Active,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied
7,motion,2017-03-05T09:00:36.000Z,6,189248,2017-03-05T09:00:35.981Z,2017-03-05T09:00:36.000Z,inactive,Kitchen Motion,Motion,2017-03-05T09:00:35.981Z,Unoccupied,Unoccupied,Occupied Active,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied
8,motion,2017-03-05T09:00:37.824Z,10,189250,2017-03-05T09:00:37.811Z,2017-03-05T09:00:37.824Z,inactive,Laundry Motion,Motion,2017-03-05T09:00:37.811Z,Unoccupied,Unoccupied,Occupied Active,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied
9,motion,2017-03-05T09:00:52.132Z,13,189252,2017-03-05T09:00:52.121Z,2017-03-05T09:00:52.132Z,inactive,toilet - laundry transit,Transit,2017-03-05T09:00:52.121Z,Unoccupied,Unoccupied,Occupied Active,Unoccupied,Unoccupied,Unoccupied,Unoccupied,Unoccupied
